================================================================================
Started       : 2026-04-22T17:50:03
Grid          : 4 rows x 5 cols
Students      : 20
Attention mode: equitable
Iterations    : 9999
--------------------------------------------------------------------------------
[080]  knowledge=0.3075  attention=0.8860  distractors=00/20  challenge=0.1744
[081]  knowledge=0.3075  attention=0.8870  distractors=00/20  challenge=0.1787
[082]  knowledge=0.3075  attention=0.8909  distractors=00/20  challenge=0.1834
[083]  knowledge=0.3075  attention=0.8905  distractors=00/20  challenge=0.1867
[084]  knowledge=0.3075  attention=0.8909  distractors=00/20  challenge=0.1876
[085]  knowledge=0.3075  attention=0.8906  distractors=00/20  challenge=0.1900
[086]  knowledge=0.3075  attention=0.8922  distractors=00/20  challenge=0.1901
[087]  knowledge=0.3075  attention=0.8952  distractors=00/20  challenge=0.1860
[088]  knowledge=0.3075  attention=0.8952  distractors=00/20  challenge=0.1849
[089]  knowledge=0.3075  attention=0.8983  distractors=00/20  challenge=0.1883
[090]  knowledge=0.3075  attention=0.8992  distractors=00/20  challenge=0.1867
[091]  knowledge=0.3075  attention=0.9024  distractors=00/20  challenge=0.1860
[092]  knowledge=0.3075  attention=0.8997  distractors=00/20  challenge=0.1916
[093]  knowledge=0.3075  attention=0.8996  distractors=00/20  challenge=0.1904
[094]  knowledge=0.3075  attention=0.9024  distractors=00/20  challenge=0.1934
[095]  knowledge=0.3075  attention=0.9072  distractors=00/20  challenge=0.1949
[096]  knowledge=0.3075  attention=0.9083  distractors=00/20  challenge=0.1972
[097]  knowledge=0.3075  attention=0.9075  distractors=00/20  challenge=0.1983
[098]  knowledge=0.3075  attention=0.9113  distractors=00/20  challenge=0.1925
[099]  knowledge=0.3075  attention=0.9194  distractors=00/20  challenge=0.1900
[100]  knowledge=0.3075  attention=0.9197  distractors=00/20  challenge=0.1909
[101]  knowledge=0.3075  attention=0.9173  distractors=00/20  challenge=0.1879
[102]  knowledge=0.3075  attention=0.9241  distractors=00/20  challenge=0.1862
[103]  knowledge=0.3075  attention=0.9267  distractors=00/20  challenge=0.1893
[104]  knowledge=0.3075  attention=0.9302  distractors=00/20  challenge=0.1911
[105]  knowledge=0.3075  attention=0.9281  distractors=00/20  challenge=0.1937
[106]  knowledge=0.3075  attention=0.9231  distractors=00/20  challenge=0.1943
[107]  knowledge=0.3075  attention=0.9252  distractors=00/20  challenge=0.1989
[108]  knowledge=0.3075  attention=0.9268  distractors=00/20  challenge=0.1966
[109]  knowledge=0.3075  attention=0.9316  distractors=00/20  challenge=0.1947
[110]  knowledge=0.3075  attention=0.9367  distractors=00/20  challenge=0.1954
[111]  knowledge=0.3075  attention=0.9377  distractors=00/20  challenge=0.1949
[112]  knowledge=0.3075  attention=0.9395  distractors=00/20  challenge=0.1931
[113]  knowledge=0.3075  attention=0.9422  distractors=00/20  challenge=0.1934
[114]  knowledge=0.3075  attention=0.9450  distractors=00/20  challenge=0.1915
[115]  knowledge=0.3075  attention=0.9464  distractors=00/20  challenge=0.1901
[116]  knowledge=0.3075  attention=0.9467  distractors=00/20  challenge=0.1901
[117]  knowledge=0.3075  attention=0.9468  distractors=00/20  challenge=0.1920
[118]  knowledge=0.3075  attention=0.9492  distractors=00/20  challenge=0.1972
[119]  knowledge=0.3075  attention=0.9474  distractors=00/20  challenge=0.1978
[120]  knowledge=0.3075  attention=0.9453  distractors=00/20  challenge=0.2041
[121]  knowledge=0.3075  attention=0.9432  distractors=00/20  challenge=0.2060
[122]  knowledge=0.3075  attention=0.9431  distractors=00/20  challenge=0.2084
[123]  knowledge=0.3235  attention=0.9410  distractors=00/20  challenge=0.2037
[124]  knowledge=0.3235  attention=0.9438  distractors=00/20  challenge=0.2029
[125]  knowledge=0.3235  attention=0.9461  distractors=00/20  challenge=0.2037
[126]  knowledge=0.3235  attention=0.9479  distractors=00/20  challenge=0.2029
[127]  knowledge=0.3235  attention=0.9480  distractors=00/20  challenge=0.2065
[128]  knowledge=0.3235  attention=0.9447  distractors=00/20  challenge=0.2093
[129]  knowledge=0.3235  attention=0.9485  distractors=00/20  challenge=0.2048
[130]  knowledge=0.3235  attention=0.9507  distractors=00/20  challenge=0.2077
[131]  knowledge=0.3235  attention=0.9481  distractors=00/20  challenge=0.2029
[132]  knowledge=0.3235  attention=0.9494  distractors=00/20  challenge=0.2032
[133]  knowledge=0.3235  attention=0.9526  distractors=00/20  challenge=0.2093
[134]  knowledge=0.3235  attention=0.9508  distractors=00/20  challenge=0.2061
[135]  knowledge=0.3235  attention=0.9515  distractors=00/20  challenge=0.2087
[136]  knowledge=0.3235  attention=0.9535  distractors=00/20  challenge=0.2098
[137]  knowledge=0.3235  attention=0.9547  distractors=00/20  challenge=0.2108
[138]  knowledge=0.3235  attention=0.9552  distractors=00/20  challenge=0.2090
[139]  knowledge=0.3235  attention=0.9550  distractors=00/20  challenge=0.2092
[140]  knowledge=0.3235  attention=0.9535  distractors=00/20  challenge=0.2104
[141]  knowledge=0.3235  attention=0.9548  distractors=00/20  challenge=0.2138
[142]  knowledge=0.3235  attention=0.9551  distractors=00/20  challenge=0.2181
[143]  knowledge=0.3235  attention=0.9555  distractors=00/20  challenge=0.2202
[144]  knowledge=0.3257  attention=0.9537  distractors=00/20  challenge=0.2192
[145]  knowledge=0.3257  attention=0.9564  distractors=00/20  challenge=0.2134
[146]  knowledge=0.3257  attention=0.9537  distractors=00/20  challenge=0.2132
[147]  knowledge=0.3257  attention=0.9555  distractors=00/20  challenge=0.2188
[148]  knowledge=0.3257  attention=0.9598  distractors=00/20  challenge=0.2205
[149]  knowledge=0.3257  attention=0.9593  distractors=00/20  challenge=0.2202
[150]  knowledge=0.3257  attention=0.9586  distractors=00/20  challenge=0.2206
[151]  knowledge=0.3257  attention=0.9609  distractors=00/20  challenge=0.2198
[152]  knowledge=0.3257  attention=0.9607  distractors=00/20  challenge=0.2177
[153]  knowledge=0.3257  attention=0.9621  distractors=00/20  challenge=0.2187
[154]  knowledge=0.3257  attention=0.9616  distractors=00/20  challenge=0.2219
[155]  knowledge=0.3257  attention=0.9678  distractors=00/20  challenge=0.2192
[156]  knowledge=0.3257  attention=0.9706  distractors=00/20  challenge=0.2221
[157]  knowledge=0.3257  attention=0.9668  distractors=00/20  challenge=0.2206
[158]  knowledge=0.3257  attention=0.9634  distractors=00/20  challenge=0.2265
[159]  knowledge=0.3332  attention=0.9629  distractors=00/20  challenge=0.2229
[160]  knowledge=0.3332  attention=0.9649  distractors=00/20  challenge=0.2174
[161]  knowledge=0.3332  attention=0.9654  distractors=00/20  challenge=0.2180
[162]  knowledge=0.3332  attention=0.9669  distractors=00/20  challenge=0.2162
[163]  knowledge=0.3332  attention=0.9655  distractors=00/20  challenge=0.2154
[164]  knowledge=0.3332  attention=0.9678  distractors=00/20  challenge=0.2159
[165]  knowledge=0.3332  attention=0.9678  distractors=00/20  challenge=0.2148
[166]  knowledge=0.3332  attention=0.9688  distractors=00/20  challenge=0.2098
[167]  knowledge=0.3332  attention=0.9704  distractors=00/20  challenge=0.2038
[168]  knowledge=0.3332  attention=0.9704  distractors=00/20  challenge=0.2132
[169]  knowledge=0.3332  attention=0.9726  distractors=00/20  challenge=0.2142
[170]  knowledge=0.3332  attention=0.9737  distractors=00/20  challenge=0.2161
[171]  knowledge=0.3332  attention=0.9704  distractors=00/20  challenge=0.2171
[172]  knowledge=0.3332  attention=0.9719  distractors=00/20  challenge=0.2179
[173]  knowledge=0.3332  attention=0.9732  distractors=00/20  challenge=0.2179
[174]  knowledge=0.3332  attention=0.9750  distractors=00/20  challenge=0.2162
[175]  knowledge=0.3332  attention=0.9776  distractors=00/20  challenge=0.2168
[176]  knowledge=0.3332  attention=0.9818  distractors=00/20  challenge=0.2191
[177]  knowledge=0.3332  attention=0.9817  distractors=00/20  challenge=0.2188
[178]  knowledge=0.3332  attention=0.9793  distractors=00/20  challenge=0.2194
[179]  knowledge=0.3332  attention=0.9809  distractors=00/20  challenge=0.2205
[180]  knowledge=0.3332  attention=0.9870  distractors=00/20  challenge=0.2257
[181]  knowledge=0.3332  attention=0.9850  distractors=00/20  challenge=0.2252
[182]  knowledge=0.3332  attention=0.9835  distractors=00/20  challenge=0.2270
[183]  knowledge=0.3332  attention=0.9782  distractors=00/20  challenge=0.2235
[184]  knowledge=0.3332  attention=0.9745  distractors=00/20  challenge=0.2218
[185]  knowledge=0.3332  attention=0.9769  distractors=00/20  challenge=0.2221
[186]  knowledge=0.3332  attention=0.9768  distractors=00/20  challenge=0.2237
[187]  knowledge=0.3332  attention=0.9785  distractors=00/20  challenge=0.2218
[188]  knowledge=0.3332  attention=0.9785  distractors=00/20  challenge=0.2232
[189]  knowledge=0.3332  attention=0.9818  distractors=00/20  challenge=0.2223
[190]  knowledge=0.3332  attention=0.9814  distractors=00/20  challenge=0.2186
[191]  knowledge=0.3332  attention=0.9844  distractors=00/20  challenge=0.2159
[192]  knowledge=0.3332  attention=0.9843  distractors=00/20  challenge=0.2124
[193]  knowledge=0.3332  attention=0.9809  distractors=00/20  challenge=0.2135
[194]  knowledge=0.3332  attention=0.9770  distractors=00/20  challenge=0.2118
[195]  knowledge=0.3332  attention=0.9778  distractors=00/20  challenge=0.2139
[196]  knowledge=0.3332  attention=0.9744  distractors=00/20  challenge=0.2167
[197]  knowledge=0.3332  attention=0.9753  distractors=00/20  challenge=0.2200
[198]  knowledge=0.3332  attention=0.9739  distractors=00/20  challenge=0.2241
[199]  knowledge=0.3332  attention=0.9732  distractors=00/20  challenge=0.2230
[200]  knowledge=0.3332  attention=0.9709  distractors=00/20  challenge=0.2268
[201]  knowledge=0.3332  attention=0.9702  distractors=00/20  challenge=0.2275
[202]  knowledge=0.3332  attention=0.9722  distractors=00/20  challenge=0.2336
[203]  knowledge=0.3417  attention=0.9688  distractors=00/20  challenge=0.2315
[204]  knowledge=0.3417  attention=0.9684  distractors=00/20  challenge=0.2262
[205]  knowledge=0.3417  attention=0.9683  distractors=00/20  challenge=0.2265
[206]  knowledge=0.3417  attention=0.9681  distractors=00/20  challenge=0.2217
[207]  knowledge=0.3417  attention=0.9715  distractors=00/20  challenge=0.2296
[208]  knowledge=0.3417  attention=0.9723  distractors=00/20  challenge=0.2330
[209]  knowledge=0.3417  attention=0.9696  distractors=00/20  challenge=0.2337
[210]  knowledge=0.3417  attention=0.9707  distractors=00/20  challenge=0.2369
[211]  knowledge=0.3417  attention=0.9713  distractors=00/20  challenge=0.2389
[212]  knowledge=0.3492  attention=0.9723  distractors=00/20  challenge=0.2404
[213]  knowledge=0.3492  attention=0.9731  distractors=00/20  challenge=0.2449
[214]  knowledge=0.3514  attention=0.9684  distractors=00/20  challenge=0.2508
[215]  knowledge=0.3577  attention=0.9663  distractors=00/20  challenge=0.2498
[216]  knowledge=0.3577  attention=0.9680  distractors=00/20  challenge=0.2512
[217]  knowledge=0.3577  attention=0.9688  distractors=00/20  challenge=0.2528
[218]  knowledge=0.3674  attention=0.9700  distractors=00/20  challenge=0.2570
[219]  knowledge=0.3674  attention=0.9696  distractors=00/20  challenge=0.2653
[220]  knowledge=0.3696  attention=0.9699  distractors=00/20  challenge=0.2639
[221]  knowledge=0.3696  attention=0.9662  distractors=00/20  challenge=0.2569
[222]  knowledge=0.3696  attention=0.9654  distractors=00/20  challenge=0.2541
[223]  knowledge=0.3696  attention=0.9610  distractors=00/20  challenge=0.2583
[224]  knowledge=0.3696  attention=0.9638  distractors=00/20  challenge=0.2614
[225]  knowledge=0.3696  attention=0.9630  distractors=00/20  challenge=0.2625
[226]  knowledge=0.3696  attention=0.9649  distractors=00/20  challenge=0.2637
[227]  knowledge=0.3696  attention=0.9661  distractors=00/20  challenge=0.2716
[228]  knowledge=0.3834  attention=0.9665  distractors=00/20  challenge=0.2738
[229]  knowledge=0.3856  attention=0.9694  distractors=00/20  challenge=0.2756
[230]  knowledge=0.3856  attention=0.9715  distractors=00/20  challenge=0.2770
[231]  knowledge=0.3856  attention=0.9704  distractors=00/20  challenge=0.2764
[232]  knowledge=0.3856  attention=0.9702  distractors=00/20  challenge=0.2755
[233]  knowledge=0.3856  attention=0.9679  distractors=00/20  challenge=0.2716
[234]  knowledge=0.3856  attention=0.9650  distractors=00/20  challenge=0.2743
[235]  knowledge=0.3856  attention=0.9659  distractors=00/20  challenge=0.2712
[236]  knowledge=0.3856  attention=0.9634  distractors=00/20  challenge=0.2735
[237]  knowledge=0.3856  attention=0.9696  distractors=00/20  challenge=0.2719
[238]  knowledge=0.3856  attention=0.9695  distractors=00/20  challenge=0.2707
[239]  knowledge=0.3856  attention=0.9671  distractors=00/20  challenge=0.2695
[240]  knowledge=0.3856  attention=0.9683  distractors=00/20  challenge=0.2695
[241]  knowledge=0.3856  attention=0.9704  distractors=00/20  challenge=0.2691
[242]  knowledge=0.3856  attention=0.9733  distractors=00/20  challenge=0.2700
[243]  knowledge=0.3856  attention=0.9780  distractors=00/20  challenge=0.2675
[244]  knowledge=0.3856  attention=0.9800  distractors=00/20  challenge=0.2673
[245]  knowledge=0.3856  attention=0.9781  distractors=00/20  challenge=0.2695
[246]  knowledge=0.3856  attention=0.9761  distractors=00/20  challenge=0.2716
[247]  knowledge=0.3856  attention=0.9754  distractors=00/20  challenge=0.2690
[248]  knowledge=0.3856  attention=0.9752  distractors=00/20  challenge=0.2681
[249]  knowledge=0.3856  attention=0.9779  distractors=00/20  challenge=0.2661
[250]  knowledge=0.3856  attention=0.9764  distractors=00/20  challenge=0.2648
[251]  knowledge=0.3856  attention=0.9756  distractors=00/20  challenge=0.2689
[252]  knowledge=0.3856  attention=0.9743  distractors=00/20  challenge=0.2712
[253]  knowledge=0.3856  attention=0.9749  distractors=00/20  challenge=0.2687
[254]  knowledge=0.3856  attention=0.9741  distractors=00/20  challenge=0.2691
[255]  knowledge=0.3856  attention=0.9718  distractors=00/20  challenge=0.2693
[256]  knowledge=0.3856  attention=0.9748  distractors=00/20  challenge=0.2695
[257]  knowledge=0.3856  attention=0.9775  distractors=00/20  challenge=0.2740
[258]  knowledge=0.3856  attention=0.9779  distractors=00/20  challenge=0.2725
[259]  knowledge=0.3856  attention=0.9784  distractors=00/20  challenge=0.2741
[260]  knowledge=0.3856  attention=0.9767  distractors=00/20  challenge=0.2788
[261]  knowledge=0.3856  attention=0.9761  distractors=00/20  challenge=0.2754
[262]  knowledge=0.3856  attention=0.9753  distractors=00/20  challenge=0.2794
[263]  knowledge=0.3856  attention=0.9746  distractors=00/20  challenge=0.2782
[264]  knowledge=0.3856  attention=0.9733  distractors=00/20  challenge=0.2795
[265]  knowledge=0.3856  attention=0.9709  distractors=00/20  challenge=0.2793
[266]  knowledge=0.3856  attention=0.9706  distractors=00/20  challenge=0.2805
[267]  knowledge=0.3856  attention=0.9721  distractors=00/20  challenge=0.2769
[268]  knowledge=0.3856  attention=0.9708  distractors=00/20  challenge=0.2761
[269]  knowledge=0.3856  attention=0.9722  distractors=00/20  challenge=0.2769
[270]  knowledge=0.3856  attention=0.9716  distractors=00/20  challenge=0.2774
[271]  knowledge=0.3856  attention=0.9707  distractors=00/20  challenge=0.2766
[272]  knowledge=0.3856  attention=0.9689  distractors=00/20  challenge=0.2785
[273]  knowledge=0.3856  attention=0.9668  distractors=00/20  challenge=0.2799
[274]  knowledge=0.3856  attention=0.9652  distractors=00/20  challenge=0.2785
[275]  knowledge=0.3856  attention=0.9621  distractors=00/20  challenge=0.2807
[276]  knowledge=0.3856  attention=0.9597  distractors=00/20  challenge=0.2848
[277]  knowledge=0.3953  attention=0.9600  distractors=00/20  challenge=0.2828
[278]  knowledge=0.3953  attention=0.9583  distractors=00/20  challenge=0.2814
[279]  knowledge=0.3953  attention=0.9582  distractors=00/20  challenge=0.2800
[280]  knowledge=0.3953  attention=0.9570  distractors=00/20  challenge=0.2796
[281]  knowledge=0.3953  attention=0.9603  distractors=00/20  challenge=0.2798
[282]  knowledge=0.3953  attention=0.9600  distractors=00/20  challenge=0.2816
[283]  knowledge=0.3953  attention=0.9650  distractors=00/20  challenge=0.2734
[284]  knowledge=0.3953  attention=0.9644  distractors=00/20  challenge=0.2737
[285]  knowledge=0.3953  attention=0.9650  distractors=00/20  challenge=0.2770
[286]  knowledge=0.3953  attention=0.9589  distractors=00/20  challenge=0.2801
[287]  knowledge=0.3953  attention=0.9659  distractors=00/20  challenge=0.2817
[288]  knowledge=0.3953  attention=0.9631  distractors=00/20  challenge=0.2798
[289]  knowledge=0.3953  attention=0.9590  distractors=00/20  challenge=0.2790
